pathway	pval	padj	log2err	ES	NES	size	leadingEdge
62	KEGG_PHENYLALANINE_METABOLISM	0.44578313253012	0.742297482837528	0.0855356947987884	0.401662084936537	1.02256832371602	14	c("GOT1", "PAH", "MAOB", "ALDH1A3", "GOT2", "HPD")
63	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.451676528599605	0.742297482837528	0.0838361057159929	0.444214108675528	1.01331827004488	9	c("CHST2", "B3GNT2", "ST3GAL3", "B4GAT1", "B4GALT4")
64	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.450097847358121	0.742297482837528	0.0835990603684159	0.386383746137807	1.00962083491467	16	c("HEXA", "NAGLU", "GNS", "GLB1", "HEXB", "GUSB", "SGSH")
65	KEGG_ADHERENS_JUNCTION	0.444649446494465	0.742297482837528	0.0810802057550866	0.294651754821216	1.0089388165912	52	c("BAIAP2", "FGFR1", "EGFR", "WASL", "SSX2IP", "PARD3", "PTPRJ", "VCL", "ACTN4", "CSNK2B", "IGF1R", "CTNNA1", "MET", "ACTN1", "WASF2")
66	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.455407969639469	0.742297482837528	0.0813027345384498	0.265704118361724	1.00435525162593	93	c("IRS2", "JUN", "FOXO3", "SH2B2", "NFKBIA", "TRAF6", "NTRK1", "PSEN1", "PLCG1", "GAB1", "NFKBIB", "KRAS", "SH2B3", "PRKCD")
67	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.495126705653021	0.787124506422752	0.0782955249944794	0.320352961423549	0.986216499864704	32	c("AQP3", "DYNC2H1", "NSF", "VAMP2", "GNAS", "ARHGDIB", "CREB3L3", "RAB11B", "DCTN1", "DYNC1H1")
68	KEGG_PARKINSONS_DISEASE	0.468283582089552	0.750868502316006	0.0789209638180035	0.27706737209092	0.986185656225495	65	c("UBE2G2", "UBB", "ATP5F1A", "NDUFV3", "COX6B1", "COX4I1", "VDAC2", "SLC25A4", "CYC1", "COX5A", "UQCR11", "NDUFB7", "NDUFB9", "NDUFS7", "SDHB", "NDUFV2", "UQCRFS1", "NDUFS8", "UQCRC1", "NDUFS1", "NDUFA8", "NDUFS3", "NDUFA9", "UBA1", "SDHC", "PARK7", "NDUFB6", "NDUFB8", "COX7A2")
69	KEGG_LYSINE_DEGRADATION	0.506743737957611	0.792091254752852	0.0764767053228531	0.313111891925894	0.973193793055439	34	c("SETDB2", "ALDH1B1", "PLOD1", "OGDH", "SETD1A", "BBOX1", "EHHADH", "PLOD2", "AADAT", "PLOD3")
70	KEGG_INSULIN_SIGNALING_PATHWAY	0.532319391634981	0.792091254752852	0.0732558655828455	0.254728001396597	0.967504778284265	97	c("IRS2", "PPARGC1A", "PCK1", "PYGL", "PYGB", "PKLR", "SH2B2", "SREBF1", "FOXO1", "PRKAB2", "TRIP10", "PCK2", "GYS2", "EIF4EBP1", "PDE3A", "KRAS", "TSC2", "RHOQ", "FBP1")
71	KEGG_ACUTE_MYELOID_LEUKEMIA	0.514231499051233	0.792091254752852	0.0749278818393739	0.291932333764558	0.966013299352777	45	c("MYC", "ZBTB16", "JUP", "EIF4EBP1", "KRAS", "PIM2")
72	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.520325203252033	0.792091254752852	0.0778840111977068	0.448506420280023	0.95512691641421	7	c("ALDH1B1", "UGT1A1", "ALDH2", "ALDH7A1")
73	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.539923954372624	0.797030599311968	0.0725351864394589	0.338877538478359	0.953169064435	22	c("ALAS2", "ALAS1", "COX10", "HMOX2", "UGT1A1", "HCCS", "GUSB")
74	KEGG_SMALL_CELL_LUNG_CANCER	0.564971751412429	0.824251575630252	0.0697792517076235	0.269604613514123	0.944854877750173	60	c("MYC", "LAMA2", "LAMB2", "NFKBIA", "TRAF6", "LAMA5", "LAMC1", "E2F2", "ITGA3", "ITGA2B", "ITGA6")
75	KEGG_CALCIUM_SIGNALING_PATHWAY	0.617702448210923	0.870398904297209	0.0653834195468773	0.255679507267911	0.931607669799149	74	c("PLCD3", "PDGFRA", "EDNRB", "ADRA1A", "EGFR", "GNA15", "PLCB1", "PPP3CC", "ADCY8", "ATP2A1", "PLCG1", "PPP3CA", "PDGFRB", "GNA11", "ADCY1", "ITPR3", "PLCD1", "VDAC2", "SLC25A4")
76	KEGG_ENDOMETRIAL_CANCER	0.576779026217228	0.831634875010887	0.0684714904492087	0.285912440841141	0.926610964386166	41	c("MYC", "FOXO3", "EGFR")
77	KEGG_HUNTINGTONS_DISEASE	0.662878787878788	0.893445322793149	0.062249042949858	0.233749895101665	0.910046566078356	108	c("PPARGC1A", "SOD2", "TAF4", "PLCB1", "ATP5F1A", "TGM2", "BBC3", "NDUFV3", "COX6B1", "COX4I1", "VDAC2", "SLC25A4", "AP2A1", "CYC1", "COX5A", "UQCR11", "NDUFB7", "NDUFB9", "NDUFS7", "SDHB", "NDUFV2", "CREB3L3", "UQCRFS1", "NDUFS8", "UQCRC1", "DCTN1", "NDUFS1", "NDUFA8", "NDUFS3", "NDUFA9", "SDHC", "NDUFB6", "NDUFB8", "COX7A2", "DNAL4", "POLR2F")
78	KEGG_TYROSINE_METABOLISM	0.631878557874763	0.872222222222222	0.0646484568421928	0.311319837372222	0.894690975138596	24	c("TPO", "GOT1", "MAOB", "ALDH1A3", "GOT2", "HPD", "FAH", "COMT")
79	KEGG_COLORECTAL_CANCER	0.699432892249527	0.915148448043185	0.0596037042575973	0.260961817541051	0.866857238891274	46	c("MYC", "JUN")
