nodeName	altName	nodeAttr[nodesPresent, ]
HDGFL2	NA	red
HEATR6	NA	red
HEBP1	NA	red
HECTD3	NA	red
HECW2	NA	red
HEG1	NA	red
HERC3	NA	red
HEXIM1	NA	red
HEXIM2	NA	red
HFE	NA	red
HGF	NA	red
HGSNAT	NA	red
HIGD2A	NA	red
HINT1	NA	red
HIP1R	NA	red
HIPK1	NA	red
HIPK3	NA	red
HIVEP2	NA	red
HIVEP3	NA	red
HJV	NA	red
HLTF	NA	red
HMBOX1	NA	red
HMCN1	NA	red
HMG20B	NA	red
HMGA1	NA	red
HMGB3	NA	red
HMGXB3	NA	red
HMGXB4	NA	red
HMMR	NA	red
HNF1A	NA	red
HNF4A	NA	red
HNF4G	NA	red
HNRNPF	NA	red
HNRNPH1	NA	red
HOGA1	NA	red
HOMEZ	NA	red
HP1BP3	NA	red
HPS1	NA	red
HS2ST1	NA	red
HSD17B14	NA	red
HSF1	NA	red
HSP90AB1	NA	red
HSPA8	NA	red
HSPB8	NA	red
HSPH1	NA	red
HUWE1	NA	red
HYLS1	NA	red
IBTK	NA	red
ICE2	NA	red
ICMT	NA	red
ID4	NA	red
IFNGR1	NA	red
IFT56	NA	red
IFT80	NA	red
IGFBP4	NA	red
IGIP	NA	red
IKZF1	NA	red
IKZF3	NA	red
IKZF5	NA	red
IL10RB	NA	red
IL17RB	NA	red
IL4R	NA	red
IL6ST	NA	red
IMP3	NA	red
IMPDH2	NA	red
ING2	NA	red
INMT	NA	red
INO80	NA	red
INTS12	NA	red
INTS5	NA	red
INTS6	NA	red
INTS7	NA	red
IP6K1	NA	red
IP6K2	NA	red
IPCEF1	NA	red
IPO9	NA	red
IPP	NA	red
IQANK1	NA	red
IQGAP1	NA	red
IREB2	NA	red
IRF2BP2	NA	red
IRGQ	NA	red
IRS1	NA	red
IRX5	NA	red
ISCA2	NA	red
ITCH	NA	red
ITGA4	NA	red
ITGA9	NA	red
ITGAV	NA	red
ITGB1	NA	red
ITIH2	NA	red
ITPRID2	NA	red
IVD	NA	red
JADE2	NA	red
JADE3	NA	red
JMY	NA	red
JRK	NA	red
JUP	NA	red
KANSL2	NA	red
KANSL3	NA	red
KAT6A	NA	red
KAT7	NA	red
KATNA1	NA	red
KATNB1	NA	red
KBTBD12	NA	red
KBTBD2	NA	red
KBTBD8	NA	red
KCMF1	NA	red
KCNJ3	NA	red
KCNT2	NA	red
KCTD10	NA	red
KCTD13	NA	red
KCTD16	NA	red
KCTD6	NA	red
KCTD9	NA	red
KDELR1	NA	red
KDF1	NA	red
KDM3A	NA	red
KDM4C	NA	red
KDM4D	NA	red
KDM5A	NA	red
KDM5C	NA	red
KDM6B	NA	red
KDM7A	NA	red
KDM8	NA	red
KDSR	NA	red
KHDC4	NA	red
KHNYN	NA	red
KIAA0232	NA	red
KIAA1191	NA	red
KIAA1522	NA	red
KIAA1671	NA	red
KIAA2026	NA	red
KICS2	NA	red
KIF11	NA	red
KIF13B	NA	red
KIFBP	NA	red
KIN	NA	red
KIRREL3	NA	red
KITLG	NA	red
KL	NA	red
KLF13	NA	red
KLF15	NA	red
KLF3	NA	red
KLF9	NA	red
KLHDC10	NA	red
KLHL11	NA	red
KLHL12	NA	red
KLHL15	NA	red
KLHL18	NA	red
KLHL22	NA	red
KLHL24	NA	red
KLHL25	NA	red
KLHL28	NA	red
KLHL6	NA	red
KLHL9	NA	red
KMT2A	NA	red
KMT2E	NA	red
KMT5B	NA	red
KPNA1	NA	red
KPNA2	NA	red
KPNA4	NA	red
KREMEN1	NA	red
KRR1	NA	red
KYAT1	NA	red
L3MBTL1	NA	red
LAGE3	NA	red
LAMA4	NA	red
LAMC1	NA	red
LAPTM4A	NA	red
LARGE2	NA	red
LARP1	NA	red
LARP4B	NA	red
LARS1	NA	red
LARS2	NA	red
LATS1	NA	red
LATS2	NA	red
LCOR	NA	red
LCORL	NA	red
LDLRAP1	NA	red
LEMD3	NA	red
LHFPL5	NA	red
LHPP	NA	red
LIFR	NA	red
LIG4	NA	red
LIMA1	NA	red
LIN52	NA	red
LIN9	NA	red
LIPA	NA	red
LMBR1	NA	red
LMF2	NA	red
LNPK	NA	red
LNX2	NA	red
LOC101536980	NA	red
LOC101537123	NA	red
LOC101537376	NA	red
LOC101537454	NA	red
LOC101537829	NA	red
LOC101537960	NA	red
LOC101538081	NA	red
LOC101538207	NA	red
LOC101538759	NA	red
LOC101538881	NA	red
LOC101538922	NA	red
LOC101538928	NA	red
LOC101539905	NA	red
LOC101540223	NA	red
LOC101540492	NA	red
LOC101540601	NA	red
LOC101540963	NA	red
LOC101541578	NA	red
LOC101541932	NA	red
LOC101542261	NA	red
LOC101542330	NA	red
LOC101542527	NA	red
LOC101542649	NA	red
LOC101542682	NA	red
LOC101543053	NA	red
LOC101543191	NA	red
LOC101543438	NA	red
LOC101543610	NA	red
LOC101543843	NA	red
LOC101544090	NA	red
LOC101544142	NA	red
LOC101544686	NA	red
LOC101544821	NA	red
LOC101545270	NA	red
LOC101545361	NA	red
LOC101545561	NA	red
LOC101545639	NA	red
LOC101545812	NA	red
LOC101546243	NA	red
LOC101546310	NA	red
LOC101546627	NA	red
LOC101546686	NA	red
LOC101546692	NA	red
LOC101547203	NA	red
LOC101547246	NA	red
LOC101548107	NA	red
LOC101548366	NA	red
LOC101548789	NA	red
